S,neural,exact
65.25,0.30544928,0.18051507995443883
65.5,0.31632692,0.18999968823035873
65.75,0.3275547,0.1998848044277044
66.0,0.3391419,0.21018247631337506
66.25,0.3510985,0.22090491302874726
66.5,0.36343402,0.23206448030161475
66.75,0.3761586,0.24367369544949113
67.0,0.38928226,0.25574522217925644
67.25,0.4028157,0.26829186518875714
67.5,0.41676885,0.28132656457604144
67.75,0.43115342,0.2948623900624363
68.0,0.44597948,0.30891253503574667
68.25,0.4612584,0.323490310420393
68.5,0.47700167,0.33860913838130546
68.75,0.49322018,0.35428254586887054
69.0,0.5099257,0.37052415801230065
69.25,0.52713037,0.38734769136913805
69.5,0.544846,0.4047669470387172
69.75,0.5630842,0.42279580364761493
70.0,0.58185714,0.4414482102153654
70.25,0.6011781,0.46073817890876256
70.5,0.62105864,0.48067977769328607
70.75,0.6415126,0.5012871228902025
71.0,0.6625515,0.5225743716482798
71.25,0.6841893,0.5445557143386628
71.5,0.7064386,0.5672453668819264
71.75,0.72931254,0.5906575630163555
72.0,0.7528252,0.6148065465162231
72.25,0.7769893,0.6397065633691668
72.5,0.8018192,0.665371853921684
72.75,0.8273281,0.6918166450016896
73.0,0.8535305,0.7190551420270781
73.25,0.8804386,0.7471015211092364
73.5,0.90806884,0.7759699211603941
73.75,0.93643355,0.8056744360135415
74.0,0.9655481,0.8362291065634917
74.25,0.99542636,0.8676479129380947
74.5,1.0260828,0.8999447667075113
74.75,1.057532,0.9331335031403416
75.0,1.0897877,0.9672278735146804
75.25,1.1228647,1.0022415374920683
75.5,1.1567787,1.0381880555623333
75.75,1.1915431,1.075080881567153
76.0,1.2271732,1.1129333553095933
76.25,1.2636834,1.1517586952572874
76.5,1.301088,1.1915699913461815
76.75,1.3394033,1.2323801978918905
77.0,1.378642,1.2742021266153483
77.25,1.418819,1.3170484397892999
77.5,1.4599504,1.360931643511801
77.75,1.5020499,1.40586408111281
78.0,1.545131,1.4518579266996898
78.25,1.5892103,1.4989251788470277
78.5,1.6343007,1.5470776544361922
78.75,1.6804178,1.5963269826495328
79.0,1.7275747,1.64668459912407
79.25,1.7757866,1.6981617402690254
79.5,1.8250668,1.7507694377516607
79.75,1.87543,1.8045185131551307
80.0,1.9268897,1.8594195728121825
80.25,1.9794593,1.9154830028181529
80.5,2.033153,1.9727189642262708
80.75,2.0879838,2.0311373884283306
81.0,2.1439662,2.0907479727231717
81.25,2.201111,2.1515601760754848
81.5,2.2594337,2.213583215066919
81.75,2.3189454,2.276826060041266
82.0,2.37966,2.3412974314454935
82.25,2.441588,2.4070057963676668
82.5,2.504743,2.4739593652729823
82.75,2.5691369,2.5421660889386146
83.0,2.6347818,2.61163365558804
83.25,2.7016888,2.6823694882249676
83.5,2.7698672,2.7543807421671147
83.75,2.8393297,2.827674302779602
84.0,2.9100873,2.90225678340747
84.25,2.9821506,2.9781345235069345
84.5,3.055529,3.0553135869742896
84.75,3.1302319,3.133799760671607
85.0,3.2062688,3.2135985531478717
85.25,3.2836504,3.2947151935542003
85.5,3.362384,3.37715463075131
85.75,3.442479,3.460921532607742
86.0,3.5239453,3.546020285486488
86.25,3.6067877,3.632454993917996
86.5,3.6910148,3.7202294804573057
86.75,3.7766345,3.809347285722552
87.0,3.8636532,3.8998116686125393
87.25,3.9520788,3.9916256067001186
87.5,4.0419145,4.084791796798914
87.75,4.1331697,4.179312655700034
88.0,4.225847,4.275190321075556
88.25,4.3199534,4.372426652545702
88.5,4.415493,4.4710232329060275
88.75,4.512469,4.5709813695113155
89.0,4.6108866,4.67230209581237
89.25,4.7107506,4.774986173042166
89.5,4.812061,4.879034092047455
89.75,4.9148226,4.984446075261995
90.0,5.0190377,5.091222078817552
90.25,5.1247077,5.199361794788523
90.5,5.2318344,5.308864653566275
90.75,5.3404202,5.41972982635901
91.0,5.450464,5.531956227813147
91.25,5.561968,5.645542518751803
91.5,5.6749287,5.760487109026478
91.75,5.789351,5.876788160477503
92.0,5.9052334,5.99444358999903
92.25,6.022572,6.113451072704379
92.5,6.1413665,6.233808045187423
92.75,6.2616134,6.355511708875746
93.0,6.383313,6.478559033471406
93.25,6.506463,6.602946760474765
93.5,6.6310577,6.728671406787569
93.75,6.7570963,6.855729268390668
94.0,6.884574,6.984116424092392
94.25,7.013488,7.113828739343333
94.5,7.1438303,7.244861870113404
94.75,7.275601,7.37721126682708
95.0,7.4087915,7.510872178352699
95.25,7.5433993,7.645839656041865
